515,192,2,totals
516,190,2,h2h
517,190,2,spreads
518,190,2,totals
519,188,2,h2h
520,188,2,spreads
521,188,2,totals
522,189,2,h2h
523,189,2,spreads
524,189,2,totals
525,191,2,h2h
526,191,2,spreads
527,191,2,totals
528,202,2,h2h
529,202,2,spreads
530,202,2,totals
531,193,2,h2h
532,193,2,spreads
533,193,2,totals
534,196,2,h2h
535,196,2,spreads
536,196,2,totals
537,200,2,h2h
538,200,2,spreads
539,200,2,totals
540,201,2,h2h
541,201,2,spreads
542,201,2,totals
543,194,2,h2h
544,194,2,spreads
545,194,2,totals
546,197,2,h2h
547,197,2,spreads
548,197,2,totals
549,198,2,h2h
550,198,2,spreads
551,198,2,totals
552,199,2,h2h
553,199,2,spreads
554,199,2,totals
555,207,2,h2h
556,207,2,spreads
557,207,2,totals
558,206,2,h2h
559,206,2,spreads
560,206,2,totals
561,208,2,h2h
562,208,2,spreads
563,208,2,totals
564,204,2,h2h
565,204,2,spreads
566,204,2,totals
567,205,2,h2h
568,205,2,spreads
569,205,2,totals
570,210,2,h2h
571,210,2,spreads
572,210,2,totals
573,203,2,h2h
574,203,2,spreads
575,203,2,totals
576,211,2,h2h
577,211,2,spreads
578,211,2,totals
579,215,2,h2h
580,215,2,spreads
581,215,2,totals
582,214,2,h2h
583,214,2,spreads
584,214,2,totals
585,213,2,h2h
586,213,2,spreads
587,213,2,totals
588,212,2,h2h
589,212,2,spreads
590,212,2,totals
591,216,2,h2h
592,216,2,spreads
593,216,2,totals
594,217,2,h2h
595,217,2,spreads
596,217,2,totals
597,222,2,h2h
598,222,2,spreads
599,222,2,totals
600,221,2,h2h
601,221,2,spreads
602,221,2,totals
603,224,2,h2h
604,224,2,spreads
605,224,2,totals
606,223,2,h2h
607,223,2,spreads
608,223,2,totals
609,220,2,h2h
610,220,2,spreads
611,220,2,totals
612,218,2,h2h
613,218,2,spreads
614,218,2,totals
615,226,2,h2h
616,226,2,spreads
617,226,2,totals
618,227,2,h2h
619,227,2,spreads
620,227,2,totals
621,228,2,h2h
622,228,2,spreads
623,228,2,totals
624,225,2,h2h
625,225,2,spreads
626,225,2,totals
627,236,2,h2h
628,236,2,spreads
629,236,2,totals
630,229,2,h2h
631,229,2,spreads
632,229,2,totals
633,230,2,h2h
634,230,2,spreads
635,230,2,totals
636,234,2,h2h
637,234,2,spreads
638,234,2,totals
639,235,2,h2h
640,235,2,spreads
641,235,2,totals
642,232,2,h2h
643,232,2,spreads
644,232,2,totals
645,231,2,h2h
646,231,2,spreads
647,231,2,totals
648,242,2,h2h
649,242,2,spreads
650,242,2,totals
651,240,2,spreads
652,240,2,totals
653,239,2,h2h
654,239,2,spreads
655,239,2,totals
656,243,2,h2h
657,243,2,spreads
658,243,2,totals
659,237,2,h2h
660,237,2,spreads
661,237,2,totals
662,241,2,h2h
663,241,2,spreads
664,241,2,totals
665,238,2,h2h
666,238,2,spreads
667,238,2,totals
668,247,2,h2h
669,247,2,spreads
670,247,2,totals
671,245,2,h2h
672,245,2,spreads
673,245,2,totals
674,248,2,h2h
675,248,2,spreads
676,248,2,totals
677,244,2,h2h
678,244,2,spreads
679,244,2,totals
680,246,2,h2h
681,246,2,spreads
682,246,2,totals
683,255,2,h2h
684,255,2,spreads
685,255,2,totals
686,250,2,h2h
687,250,2,spreads
688,250,2,totals
689,251,2,h2h
690,251,2,spreads
691,251,2,totals
692,253,2,h2h
693,253,2,spreads
694,253,2,totals
695,257,2,h2h
