290,142,HOME,-2.5,-110,,
291,143,OVER,226.5,-110,,
292,143,UNDER,226.5,-110,,
293,144,AWAY,,575,,
294,144,HOME,,-850,,
295,145,AWAY,12.5,-110,,
296,145,HOME,-12.5,-110,,
297,146,OVER,227.5,-110,,
298,146,UNDER,227.5,-110,,
299,147,HOME,,195,,
300,147,AWAY,,-238,,
301,148,HOME,5.5,-108,,
302,148,AWAY,-5.5,-112,,
303,149,OVER,218.0,-110,,
304,149,UNDER,218.0,-110,,
305,150,AWAY,,170,,
306,150,HOME,,-205,,
307,151,AWAY,5.0,-108,,
308,151,HOME,-5.0,-112,,
309,152,OVER,223.5,-110,,
310,152,UNDER,223.5,-110,,
311,153,AWAY,,-245,,
312,153,HOME,,200,,
313,154,AWAY,-6.0,-110,,
314,154,HOME,6.0,-110,,
315,155,OVER,234.5,-108,,
316,155,UNDER,234.5,-112,,
317,156,HOME,,124,,
318,156,AWAY,,-148,,
319,157,HOME,3.0,-112,,
320,157,AWAY,-3.0,-108,,
321,158,OVER,217.5,-110,,
322,158,UNDER,217.5,-110,,
323,159,AWAY,,-180,,
324,159,HOME,,150,,
325,160,AWAY,-4.0,-110,,
326,160,HOME,4.0,-110,,
327,161,OVER,234.5,-110,,
328,161,UNDER,234.5,-110,,
329,162,AWAY,,-298,,
330,162,HOME,,240,,
331,163,AWAY,-7.0,-108,,
332,163,HOME,7.0,-112,,
333,164,OVER,233.5,-108,,
334,164,UNDER,233.5,-112,,
335,165,HOME,,-258,,
336,165,AWAY,,210,,
337,166,HOME,-6.5,-108,,
338,166,AWAY,6.5,-112,,
339,167,OVER,225.0,-110,,
340,167,UNDER,225.0,-110,,
341,168,HOME,,-205,,
342,168,AWAY,,170,,
343,169,HOME,-5.0,-110,,
344,169,AWAY,5.0,-110,,
345,170,OVER,223.0,-108,,
346,170,UNDER,223.0,-112,,
347,171,AWAY,,150,,
348,171,HOME,,-180,,
349,172,AWAY,4.5,-115,,
350,172,HOME,-4.5,-105,,
351,173,OVER,216.5,-108,,
352,173,UNDER,216.5,-112,,
353,174,HOME,,110,,
354,174,AWAY,,-130,,
355,175,HOME,2.5,-112,,
356,175,AWAY,-2.5,-108,,
357,176,OVER,214.5,-110,,
358,176,UNDER,214.5,-110,,
359,177,AWAY,,550,,
360,177,HOME,,-800,,
361,178,AWAY,12.5,-110,,
362,178,HOME,-12.5,-110,,
363,179,OVER,224.5,-110,,
364,179,UNDER,224.5,-110,,
365,180,HOME,,185,,
366,180,AWAY,,-225,,
367,181,HOME,6.0,-115,,
368,181,AWAY,-6.0,-105,,
369,182,OVER,228.0,-110,,
370,182,UNDER,228.0,-110,,
371,183,HOME,,-900,,
372,183,AWAY,,600,,
373,184,HOME,-13.5,-105,,
374,184,AWAY,13.5,-115,,
375,185,OVER,219.5,-115,,
376,185,UNDER,219.5,-105,,
377,186,HOME,,-115,,
378,186,AWAY,,-105,,
379,187,HOME,-1.0,-110,,
380,187,AWAY,1.0,-110,,
381,188,OVER,219.5,-110,,
382,188,UNDER,219.5,-110,,
383,189,HOME,,190,,
384,189,AWAY,,-230,,
385,190,HOME,5.5,-110,,
386,190,AWAY,-5.5,-110,,
387,191,OVER,224.5,-110,,
388,191,UNDER,224.5,-110,,
389,192,HOME,,-230,,
390,192,AWAY,,185,,
391,193,HOME,-6.0,-108,,
392,193,AWAY,6.0,-112,,
393,194,OVER,227.5,-108,,
394,194,UNDER,227.5,-112,,
395,195,AWAY,,110,,
396,195,HOME,,-130,,
397,196,AWAY,2.0,-110,,
398,196,HOME,-2.0,-110,,
399,197,OVER,229.0,-108,,
400,197,UNDER,229.0,-112,,
401,198,AWAY,,-575,,
402,198,HOME,,425,,
403,199,AWAY,-11.0,-108,,
404,199,HOME,11.0,-112,,
405,200,OVER,231.0,-110,,
406,200,UNDER,231.0,-110,,
407,201,HOME,,-325,,
408,201,AWAY,,260,,
409,202,HOME,-8.0,-108,,
410,202,AWAY,8.0,-112,,
411,203,OVER,215.5,-110,,
412,203,UNDER,215.5,-110,,
413,204,HOME,,235,,
414,204,AWAY,,-290,,
415,205,HOME,6.5,-108,,
416,205,AWAY,-6.5,-112,,
417,206,OVER,217.5,-110,,
418,206,UNDER,217.5,-110,,
419,207,HOME,,225,,
420,207,AWAY,,-278,,
421,208,HOME,7.5,-110,,
422,208,AWAY,-7.5,-110,,
423,209,OVER,239.0,-108,,
424,209,UNDER,239.0,-112,,
425,210,HOME,,-142,,
426,210,AWAY,,120,,
427,211,HOME,-2.0,-110,,
428,211,AWAY,2.0,-110,,
429,212,OVER,225.5,-112,,
430,212,UNDER,225.5,-108,,
431,213,AWAY,,-355,,
432,213,HOME,,280,,
433,214,AWAY,-8.0,-115,,
434,214,HOME,8.0,-105,,
435,215,OVER,226.0,-112,,
436,215,UNDER,226.0,-108,,
437,216,AWAY,,-155,,
438,216,HOME,,130,,
439,217,AWAY,-4.0,-108,,
440,217,HOME,4.0,-112,,
441,218,OVER,234.0,-110,,
442,218,UNDER,234.0,-110,,
443,219,AWAY,,164,,
444,219,HOME,,-198,,
445,220,AWAY,4.0,-108,,
446,220,HOME,-4.0,-112,,
447,221,OVER,220.0,-112,,
448,221,UNDER,220.0,-108,,
449,222,AWAY,,-625,,
450,222,HOME,,455,,
451,223,AWAY,-11.5,-108,,
452,223,HOME,11.5,-112,,
453,224,OVER,220.0,-108,,
454,224,UNDER,220.0,-112,,
455,225,AWAY,,-575,,
456,225,HOME,,425,,
457,226,AWAY,-11.0,-110,,
458,226,HOME,11.0,-110,,
459,227,OVER,231.5,-112,,
